"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1691.1084210736
"FDW14","OUT017",1409.15377401992
"NCN55","OUT010",670.836238627546
"FDQ58","OUT017",2647.73116393469
"FDY38","OUT027",4806.55169455902
"FDH56","OUT046",1917.1503900585
"FDL48","OUT018",557.650633275179
"FDC48","OUT027",2131.09513169134
"FDN33","OUT045",1464.82160711121
"FDA36","OUT017",3093.30321510973
"FDT44","OUT017",2049.65248782798
"FDQ56","OUT045",1182.48282770555
"NCC54","OUT019",610.166676719568
"FDU11","OUT049",1940.05145890353
"DRL59","OUT013",776.70108446863
"FDM24","OUT049",2552.05307939281
"FDI57","OUT045",3137.59754980898
"DRC12","OUT018",2600.64279853181
"NCM42","OUT027",2897.40625625184
"FDA46","OUT010",465.858210539809
"FDA31","OUT013",2825.43272263633
"NCJ31","OUT035",1963.27039191476
"FDG52","OUT046",830.327513145158
"NCL19","OUT019",330.377411352482
"FDS10","OUT035",3113.10101603107
"FDX22","OUT010",494.171120275786
"NCF19","OUT035",771.653955953199
"NCE06","OUT046",2789.19657347159
"DRC27","OUT046",3553.28311076734
"FDE21","OUT035",1959.61369212707
"NCR42","OUT019",220.137469712173
"FDX51","OUT018",2690.53349232986
"NCR06","OUT018",520.772191001204
"FDU31","OUT027",4922.12724345499
"FDU59","OUT017",2808.52788239128
"FDR03","OUT027",4738.44761821833
"FDS49","OUT027",2173.39236866003
"FDD48","OUT010",211.028530512074
"NCF18","OUT017",3020.32686235821
"NCD43","OUT027",2719.68274395048
"NCD54","OUT018",2078.24784175714
"FDY19","OUT010",240.907011984996
"NCY54","OUT017",3084.53607819685
"NCL19","OUT018",1958.60336930256
"FDP23","OUT010",512.661751510001
"FDC26","OUT013",1705.97223422653
"FDR14","OUT010",133.619968853703
"NCS41","OUT035",3158.90201877907
"FDF41","OUT035",3684.72753686958
"FDU34","OUT046",1584.64437398697
"DRH11","OUT046",1002.63968039998
"FDM03","OUT013",2021.88845422991
"FDS31","OUT017",3155.67722438806
"FDJ20","OUT017",1988.35552672522
"FDV44","OUT027",4571.71208997361
"FDG02","OUT049",3275.81757749394
"FDA09","OUT013",3158.87891733311
"FDT04","OUT013",551.106402004246
"FDL58","OUT019",611.87548363956
"FDE52","OUT045",1440.88784803793
"FDW12","OUT035",2408.96490380367
"FDL51","OUT017",3574.60073925852
"NCY42","OUT027",3642.83720654714
"FDR07","OUT017",1599.32773651358
"FDN40","OUT045",2127.829738398
"FDB35","OUT027",2418.53541779102
"FDA22","OUT017",2877.77531963305
"NCL06","OUT046",3939.303620547
"FDI35","OUT013",3086.09737467918
"NCW42","OUT045",3174.02447093464
"NCX06","OUT049",3112.18744459046
"FDC37","OUT027",2847.8762689935
"FDZ14","OUT018",1719.26618554273
"DRG49","OUT049",3612.36300311568
"NCG06","OUT045",3686.55018506947
"DRC36","OUT045",2809.99758418521
"FDV21","OUT019",311.73444043644
"FDB53","OUT046",2404.95585057285
"DRP47","OUT019",614.532459239626
"FDA14","OUT013",2263.61720500303
"DRC24","OUT035",2660.47102658626
"FDW21","OUT018",1379.51757794154
"NCH29","OUT046",1563.36887831031
"FDU58","OUT013",3066.15494441905
"FDY27","OUT017",2999.00261291706
"FDV56","OUT035",1864.08692279934
"FDT59","OUT046",3707.69726012889
"FDB23","OUT046",3320.08461848568
"FDR49","OUT045",719.369034889354
"FDB03","OUT010",694.773086579513
"FDN39","OUT045",2684.59502217738
"FDX02","OUT027",4831.60922347056
"FDQ16","OUT027",2827.92697419316
"FDU35","OUT018",1419.94635242483
"NCT29","OUT013",2011.78983955331
"FDZ27","OUT046",849.348775568392
"FDN57","OUT017",2423.78556477638
"FDA03","OUT018",1967.28970554532
"FDZ36","OUT045",2703.61601130021
"NCU05","OUT013",1299.45597551903
"FDT39","OUT018",2119.89109909121
"FDK60","OUT017",1642.8862195892
"FDZ25","OUT017",2952.4762963898
"FDG12","OUT046",1931.3913767323
"DRB01","OUT019",403.944115987451
"NCC43","OUT027",5054.47402441647
"FDX13","OUT019",610.534691826248
"FDM22","OUT049",785.550355398727
"FDJ03","OUT027",1330.14162404309
"FDU14","OUT018",3331.92915970762
"FDB33","OUT010",337.898489177877
"FDP27","OUT046",2939.44267304995
"FDO38","OUT010",163.923024398473
"FDE28","OUT027",4972.84846585468
"FDO27","OUT035",1626.12107553553
"DRL23","OUT027",2787.67827968362
"FDS28","OUT046",973.817590418549
"FDX24","OUT013",1307.67381671072
"FDZ02","OUT035",1569.62339093497
"FDL46","OUT045",1966.36455862051
"FDS60","OUT027",4354.29651670163
"NCO06","OUT017",687.139532336043
