"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",2004.61164113203
"FDW14","OUT017",1269.00572398427
"NCN55","OUT010",2063.59448392516
"FDQ58","OUT017",2207.85343228614
"FDY38","OUT027",4499.09177331723
"FDH56","OUT046",1852.29488416144
"FDL48","OUT018",1432.46079650777
"FDC48","OUT027",2550.90282537404
"FDN33","OUT045",1188.78511292213
"FDA36","OUT017",2686.30088928494
"FDT44","OUT017",1582.64587605259
"FDQ56","OUT045",1078.38532188473
"NCC54","OUT019",2441.48838014678
"FDU11","OUT049",2096.57449226965
"DRL59","OUT013",686.209858217485
"FDM24","OUT049",2530.82630014023
"FDI57","OUT045",2703.55658982243
"DRC12","OUT018",3416.71583754298
"NCM42","OUT027",2925.33083412802
"FDA46","OUT010",1232.58618766917
"FDA31","OUT013",2242.12839059544
"NCJ31","OUT035",3111.22458782888
"FDG52","OUT046",888.842966879952
"NCL19","OUT019",1307.90210624285
"FDS10","OUT035",2501.84818561833
"FDX22","OUT010",1700.97495012348
"NCF19","OUT035",698.583835260654
"NCE06","OUT046",2420.79235251544
"DRC27","OUT046",3608.40539658869
"FDE21","OUT035",1652.61586057788
"NCR42","OUT019",-264.244924482614
"FDX51","OUT018",3495.33172571938
"NCR06","OUT018",1433.9017955107
"FDU31","OUT027",4412.20896312093
"FDU59","OUT017",2233.56138951061
"FDR03","OUT027",4255.16759310823
"FDS49","OUT027",2438.64266724625
"FDD48","OUT010",387.597109936988
"NCF18","OUT017",2630.24689654527
"NCD43","OUT027",2857.58351200869
"NCD54","OUT018",2787.03908001132
"FDY19","OUT010",383.062726029679
"NCY54","OUT017",2243.44473629859
"NCL19","OUT018",2823.73656092128
"FDP23","OUT010",1789.69612903989
"FDC26","OUT013",1359.88047014698
"FDR14","OUT010",-788.688857872134
"NCS41","OUT035",2536.4958863807
"FDF41","OUT035",3297.09606373497
"FDU34","OUT046",1918.55731303569
"DRH11","OUT046",997.740592578903
"FDM03","OUT013",1275.58369715137
"FDS31","OUT017",2543.46237950379
"FDJ20","OUT017",1650.78306206726
"FDV44","OUT027",3990.66131662793
"FDG02","OUT049",3131.19767709222
"FDA09","OUT013",2370.79395164054
"FDT04","OUT013",371.36123441568
"FDL58","OUT019",2799.55455298028
"FDE52","OUT045",1272.89987487686
"FDW12","OUT035",2042.96030774897
"FDL51","OUT017",3008.92867883538
"NCY42","OUT027",3380.34853491669
"FDR07","OUT017",1325.5875912242
"FDN40","OUT045",2034.60007260716
"FDB35","OUT027",2583.79024458451
"FDA22","OUT017",2245.53276858795
"NCL06","OUT046",3840.64972044536
"FDI35","OUT013",2415.32106707512
"NCW42","OUT045",3034.83977872083
"NCX06","OUT049",3010.5465854161
"FDC37","OUT027",2897.81712720221
